urlid,label
5865,0.811948
782,0.561302
6962,0.740647
7640,0.651480
3589,0.686388
6719,0.692070
3905,0.676814
9841,0.877084
7447,0.613728
4776,0.608722
2879,0.832178
2620,0.000000
10479,0.612623
1105,0.620396
1849,0.659440
8286,0.798960
8344,0.868170
10486,0.880363
8661,0.899564
7188,0.618230
1433,0.862637
677,0.721611
469,0.805300
6988,0.604199
8024,0.632134
6896,0.585068
9154,0.647396
342,0.805415
50,0.628294
983,0.632325
6933,0.628474
8271,0.640417
5602,0.583638
4505,0.576426
4966,0.888316
2390,0.598800
6736,0.700250
4660,0.876154
7560,0.791162
3840,0.675725
5823,0.822604
5789,0.827969
1595,0.549807
6770,0.754399
3522,0.813720
5584,0.782239
8323,0.803139
3862,0.735667
373,0.619022
7345,0.689671
7708,0.843582
1398,0.826640
4298,0.667589
7467,0.596388
1878,0.780652
1832,0.620787
625,0.666149
7438,0.598674
9961,0.772542
7117,0.628421
8190,0.614146
1713,0.789220
949,0.631882
9246,0.609247
2326,0.631167
8942,0.611892
4458,0.665488
4659,0.605478
9522,0.603766
2497,0.765309
9836,0.596057
3808,0.857538
5575,0.793171
5714,0.555059
2490,0.766765
6812,0.659607
4335,0.572876
10014,0.881907
5889,0.838551
482,0.850940
8082,0.650279
5856,0.850490
8866,0.679634
2624,0.868494
1371,0.821653
4436,0.615536
2972,0.840413
3638,0.817018
6249,0.656725
7602,0.616564
9624,0.895906
7567,0.649608
6578,0.639925
7590,0.834581
8590,0.762060
10520,0.731590
1906,0.598118
1373,0.660814
1601,0.829433
4754,0.596686
8208,0.616203
1658,0.815423
1352,0.848030
8143,0.797461
7760,0.731757
7836,0.842363
9769,0.634039
503,0.733297
4909,0.631179
7162,0.590506
10035,0.749914
1992,0.745802
6133,0.605946
8519,0.691694
1879,0.739565
7107,0.647615
1225,0.743223
2451,0.759762
8252,0.604347
9214,0.704266
4850,0.846640
5891,0.651543
5274,0.629291
8623,0.617891
562,0.805911
860,0.577051
4199,0.857137
7616,0.637031
10544,0.668302
1567,0.827761
6552,0.661260
954,0.645260
111,0.668170
7036,0.736955
1995,0.851989
7095,0.610969
10180,0.658944
6872,0.889975
4805,0.886378
355,0.756149
8097,0.812832
9271,0.823473
431,0.612359
1646,0.684951
143,0.852641
3436,0.523603
150,0.629058
9745,0.521784
715,0.653365
578,0.610513
8684,0.848935
1186,0.848933
9115,0.730933
9239,0.620559
5461,0.827250
5424,1.000000
1349,0.877406
609,0.797154
7569,0.605409
1622,0.689675
6541,0.643471
9873,0.862124
305,0.659653
6041,0.623726
5360,0.578907
8445,0.725600
7260,0.652001
4526,0.788439
138,0.637145
168,0.616527
7888,0.768438
4639,0.760915
867,0.635566
9673,0.914560
710,0.643139
4749,0.583162
4716,0.617553
410,0.776277
2155,0.880086
3289,0.652456
7774,0.647941
1200,0.582862
9057,0.523797
2261,0.767442
9612,0.583502
4987,0.700109
3605,0.872138
