urlid,score_title,score_url,label_body,label_all
5865,0.758063,0.819833,1.0,1.0
782,0.558096,0.430556,0.0,0.0
6962,0.558096,0.562500,0.0,0.0
7640,0.553760,0.441649,0.0,0.0
3589,0.504836,0.497050,1.0,1.0
6719,0.547378,0.379950,1.0,1.0
3905,0.603931,0.302522,0.0,0.0
9841,0.883538,0.901629,1.0,1.0
7447,0.464476,0.678125,0.0,0.0
4776,0.621348,0.000000,0.0,0.0
2879,0.558096,0.969697,0.0,0.0
2620,0.558096,0.000000,0.0,0.0
10479,0.470412,0.343292,0.0,0.0
1105,0.484643,0.250000,0.0,0.0
1849,0.513058,0.478782,0.0,0.0
8286,0.634528,0.819906,1.0,1.0
8344,0.715196,0.650754,1.0,1.0
10486,0.899450,0.864060,1.0,1.0
8661,0.920184,0.866578,1.0,1.0
7188,0.596248,0.000000,0.0,0.0
1433,0.732228,0.713671,1.0,1.0
677,0.886226,0.829795,1.0,1.0
469,0.915487,0.792835,1.0,1.0
6988,0.384184,0.483002,0.0,0.0
8024,0.407811,0.550122,0.0,0.0
6896,0.315313,0.477501,0.0,0.0
9154,0.334456,0.567677,0.0,0.0
342,0.558096,0.862885,1.0,1.0
50,0.567497,0.655661,0.0,0.0
983,0.378650,0.446952,0.0,0.0
6933,0.366785,0.492855,0.0,0.0
8271,0.387692,0.355389,0.0,0.0
5602,0.558096,0.420785,0.0,0.0
4505,0.274095,0.414545,0.0,0.0
4966,0.854433,0.523316,1.0,1.0
2390,0.359083,0.368254,0.0,0.0
6736,0.663874,0.586997,0.0,0.0
4660,0.898245,0.902305,1.0,1.0
7560,0.749827,0.748555,1.0,1.0
3840,0.528395,0.528441,0.0,0.0
5823,0.764277,0.867288,1.0,1.0
5789,0.841945,0.847028,1.0,1.0
1595,0.349134,0.331195,0.0,0.0
6770,0.725899,0.694830,1.0,1.0
3522,0.886062,0.917570,1.0,1.0
5584,0.891322,0.867535,1.0,1.0
8323,0.706212,0.773700,1.0,1.0
3862,0.700383,0.689848,1.0,1.0
373,0.558096,0.423423,0.0,0.0
7345,0.487209,0.473924,0.0,0.0
7708,0.782719,0.866389,1.0,1.0
1398,0.700984,0.775935,1.0,1.0
4298,0.384502,0.620030,0.0,0.0
7467,0.533218,0.418403,0.0,0.0
1878,0.728182,0.722905,1.0,1.0
1832,0.553979,0.560710,0.0,0.0
625,0.465470,0.378890,0.0,0.0
7438,0.385895,0.485055,0.0,0.0
9961,0.898373,0.964603,1.0,1.0
7117,0.556219,0.527602,0.0,0.0
8190,0.346308,0.418350,0.0,0.0
1713,0.789732,0.000000,1.0,1.0
949,0.442827,0.704069,0.0,0.0
9246,0.398560,0.357237,0.0,0.0
2326,0.398240,0.599963,0.0,0.0
8942,0.689516,0.336777,0.0,0.0
4458,0.548119,0.705357,1.0,1.0
4659,0.600717,0.639652,0.0,0.0
9522,0.409285,0.531429,0.0,0.0
2497,0.852699,0.562500,1.0,1.0
9836,0.558096,0.620120,0.0,0.0
3808,0.886334,0.905648,1.0,1.0
5575,0.907464,0.845446,1.0,1.0
5714,0.593521,0.335125,0.0,0.0
2490,0.909058,0.882590,1.0,1.0
6812,0.605844,0.560697,0.0,0.0
4335,0.284032,0.540351,0.0,0.0
10014,0.811361,0.000000,1.0,1.0
5889,0.960276,0.801613,1.0,1.0
482,0.520070,0.670963,1.0,1.0
8082,0.498048,0.333333,0.0,0.0
5856,0.762708,0.814926,1.0,1.0
8866,0.690806,0.646945,1.0,1.0
2624,0.715772,0.868223,1.0,1.0
1371,0.870754,0.804789,1.0,1.0
4436,0.745862,0.665792,0.0,0.0
2972,0.863553,0.967907,1.0,1.0
3638,0.919015,0.908289,1.0,1.0
6249,0.558096,0.651311,0.0,0.0
7602,0.446868,0.530867,0.0,0.0
9624,0.849964,0.834695,1.0,1.0
7567,0.454482,0.431416,0.0,0.0
6578,0.392448,0.272614,0.0,0.0
7590,0.903355,0.849157,1.0,1.0
8590,0.459814,0.560101,1.0,1.0
10520,0.750997,0.734444,1.0,1.0
1906,0.431610,0.465131,0.0,0.0
1373,0.681010,0.460683,0.0,0.0
1601,0.917286,0.962963,1.0,1.0
4754,0.492462,0.498329,0.0,0.0
8208,0.612328,0.305005,0.0,0.0
1658,0.855097,0.885678,1.0,1.0
1352,0.752841,0.864133,1.0,1.0
8143,0.928912,0.956036,1.0,1.0
7760,0.821571,0.767154,1.0,1.0
7836,0.912312,0.883612,1.0,1.0
9769,0.442768,0.939716,0.0,0.0
503,0.751955,0.805905,1.0,1.0
4909,0.459716,0.507226,0.0,0.0
7162,0.558096,0.000000,0.0,0.0
10035,0.808042,0.843373,1.0,1.0
1992,0.603308,0.621554,1.0,1.0
6133,0.574921,0.638298,0.0,0.0
8519,0.453126,0.771484,0.0,0.0
1879,0.558096,0.791053,0.0,0.0
7107,0.481367,0.472386,0.0,0.0
1225,0.586507,0.553858,1.0,1.0
2451,0.659093,0.730488,1.0,1.0
8252,0.383494,0.284381,0.0,0.0
9214,0.610290,0.262500,1.0,1.0
4850,0.876707,0.808663,1.0,1.0
5891,0.379876,0.564898,0.0,0.0
5274,0.412863,0.402558,0.0,0.0
8623,0.335317,0.332017,0.0,0.0
562,0.687837,0.733043,1.0,1.0
860,0.456109,0.352010,0.0,0.0
4199,0.918364,0.764084,1.0,1.0
7616,0.380902,0.458048,0.0,0.0
10544,0.611715,0.747561,0.0,0.0
1567,0.724030,0.648484,1.0,1.0
6552,0.448577,0.582639,0.0,0.0
954,0.317123,0.339626,0.0,0.0
111,0.550636,0.502169,0.0,0.0
7036,0.585516,0.592891,1.0,1.0
1995,0.825032,0.839460,1.0,1.0
7095,0.558096,0.616369,0.0,0.0
10180,0.615867,0.578102,1.0,1.0
6872,0.859885,0.818041,1.0,1.0
4805,0.889404,0.910806,1.0,1.0
355,0.811772,0.788206,1.0,1.0
8097,0.948581,0.701724,1.0,1.0
9271,0.882566,0.811491,1.0,1.0
431,0.532708,0.542622,0.0,0.0
1646,0.776688,0.752379,1.0,1.0
143,0.490112,0.669690,1.0,1.0
3436,0.478919,0.475991,0.0,0.0
150,0.588827,0.528777,0.0,0.0
9745,0.558096,0.750000,0.0,0.0
715,0.529248,0.561350,0.0,0.0
578,0.515715,0.000000,0.0,0.0
8684,0.707994,0.816550,1.0,1.0
1186,0.724930,0.000000,1.0,1.0
9115,0.686336,1.000000,1.0,1.0
9239,0.532953,0.353584,0.0,0.0
5461,0.650484,0.669282,1.0,1.0
5424,0.573247,0.687500,1.0,1.0
1349,0.795887,0.842460,1.0,1.0
609,0.771028,0.813242,1.0,1.0
7569,0.481367,0.495629,0.0,0.0
1622,0.372755,0.606812,0.0,0.0
6541,0.455663,0.372785,0.0,0.0
9873,0.834963,0.849091,1.0,1.0
305,0.534699,0.430873,0.0,0.0
6041,0.463810,0.487500,0.0,0.0
5360,0.416445,0.758606,0.0,0.0
8445,0.948836,0.914350,1.0,1.0
7260,0.528329,0.563889,0.0,0.0
4526,0.653118,0.638298,1.0,1.0
138,0.598330,0.497414,0.0,0.0
168,0.526826,0.464048,0.0,0.0
7888,0.574216,0.637432,1.0,1.0
4639,0.821269,0.844635,1.0,1.0
867,0.469755,0.377614,0.0,0.0
9673,0.552649,0.532877,1.0,1.0
710,0.628286,0.578125,0.0,0.0
4749,0.407088,0.442022,0.0,0.0
4716,0.207302,0.242424,0.0,0.0
410,0.705957,0.625704,1.0,1.0
2155,0.929804,0.906065,1.0,1.0
3289,0.637822,0.659308,0.0,0.0
7774,0.512559,0.500000,0.0,0.0
1200,0.434266,0.390056,0.0,0.0
9057,0.558096,0.434892,0.0,0.0
2261,0.558096,0.424916,0.0,0.0
9612,0.617785,0.000000,0.0,0.0
4987,0.672066,0.441860,1.0,1.0
3605,0.951009,0.901261,1.0,1.0
5068,0.931199,0.990698,1.0,1.0
4474,0.658093,0.796559,1.0,1.0
5831,0.696012,0.728882,1.0,1.0
4729,0.442224,0.513401,0.0,0.0
10060,0.558096,0.573594,1.0,1.0
6895,0.470833,0.159309,0.0,0.0
3791,0.780286,0.770657,1.0,1.0
7910,0.326360,0.178571,0.0,0.0
4209,0.435838,0.366725,0.0,0.0
4984,0.870905,0.890679,1.0,1.0
1773,0.620467,0.539656,0.0,0.0
2101,0.488238,0.498344,0.0,0.0
7251,0.411227,0.344919,0.0,0.0
2887,0.481367,0.555191,0.0,0.0
875,0.575548,0.717565,1.0,1.0
8185,0.780469,0.398022,0.0,0.0
9688,0.892291,0.805418,1.0,1.0
5342,0.443293,0.178571,0.0,0.0
6802,0.675081,0.000000,1.0,1.0
3077,0.695121,0.487640,0.0,0.0
712,0.348528,0.497333,0.0,0.0
3026,0.558096,0.000000,0.0,0.0
2640,0.372826,0.350349,0.0,0.0
4872,0.852699,0.613904,0.0,0.0
3334,0.659784,0.781250,1.0,1.0
2431,0.541370,0.513003,0.0,0.0
9218,0.277778,0.503472,0.0,0.0
7417,0.544066,0.586364,1.0,1.0
3563,0.976745,0.966554,1.0,1.0
1006,0.663648,0.558841,1.0,1.0
8940,0.302745,0.438808,0.0,0.0
7703,0.418509,0.293748,0.0,0.0
2686,0.545097,0.570009,0.0,0.0
8159,0.876156,0.814623,1.0,1.0
37,0.531869,0.525829,0.0,0.0
65,0.506288,0.414559,0.0,0.0
1910,0.558096,0.793846,0.0,0.0
2202,0.771074,0.814405,1.0,1.0
9717,0.738347,0.758004,1.0,1.0
2388,0.552051,1.000000,1.0,1.0
2365,0.465356,0.380202,0.0,0.0
5072,0.627909,0.445869,1.0,1.0
4614,0.616007,0.365470,0.0,0.0
6955,0.577833,0.333341,0.0,0.0
4094,0.256356,0.178571,0.0,0.0
3319,0.938993,0.859809,1.0,1.0
1456,0.953325,0.905051,1.0,1.0
5381,0.654419,0.926853,1.0,1.0
4479,0.993056,0.864244,1.0,1.0
4766,0.471213,0.483796,0.0,0.0
6076,0.924517,0.930664,1.0,1.0
8064,0.673914,0.683784,0.0,0.0
3416,0.795402,0.788198,1.0,1.0
4892,0.453931,0.000000,0.0,0.0
9942,0.893310,0.845556,1.0,1.0
9215,0.560332,0.523809,0.0,0.0
4506,0.840703,0.728728,1.0,1.0
9275,0.573974,0.653138,0.0,0.0
1306,0.944228,0.915605,1.0,1.0
6828,0.795159,0.897436,1.0,1.0
8368,0.744572,0.666411,1.0,1.0
7205,0.439958,0.571180,0.0,0.0
360,0.963093,0.959105,1.0,1.0
3386,0.278498,0.272213,0.0,0.0
3835,0.685254,0.717716,1.0,1.0
1305,0.431881,0.494494,0.0,0.0
7963,0.494841,0.630014,0.0,0.0
2073,0.623041,0.904762,1.0,1.0
4230,0.835716,0.442611,0.0,0.0
9012,0.489019,0.434655,0.0,0.0
2723,0.886553,1.000000,1.0,1.0
6788,0.724880,0.853970,1.0,1.0
7945,0.373289,0.268629,0.0,0.0
4868,0.558096,0.809477,1.0,1.0
6597,0.759225,0.708299,0.0,0.0
7323,0.352908,0.275108,0.0,0.0
6229,0.444973,0.324646,0.0,0.0
3427,0.688620,0.929245,1.0,1.0
7727,0.537104,0.432039,0.0,0.0
4707,0.919865,0.916113,1.0,1.0
2547,0.905150,0.882797,1.0,1.0
4523,0.914201,0.937675,1.0,1.0
9648,0.591713,0.638175,0.0,0.0
1084,0.482254,0.605389,0.0,0.0
3327,0.855971,0.888889,1.0,1.0
5591,0.523690,0.549730,0.0,0.0
186,0.334755,0.326184,0.0,0.0
2938,0.485071,0.475316,0.0,0.0
9912,0.823757,0.869289,1.0,1.0
6047,0.551890,0.593616,0.0,0.0
2417,0.553658,0.658580,1.0,1.0
10533,0.636267,0.603323,0.0,0.0
1137,0.718091,0.422917,0.0,0.0
1533,0.863523,0.796336,1.0,1.0
9233,0.517202,0.600000,0.0,0.0
43,0.608250,0.442901,0.0,0.0
8986,0.443169,0.000000,0.0,0.0
6000,0.876373,0.944580,1.0,1.0
480,0.435133,0.592380,0.0,0.0
2457,0.715882,0.559090,1.0,1.0
5362,0.353468,0.452585,0.0,0.0
7722,0.512059,0.506731,0.0,0.0
7940,0.768142,0.512856,1.0,1.0
6104,0.954008,0.872586,1.0,1.0
8853,0.367247,0.185606,0.0,0.0
5813,0.772011,0.720445,1.0,1.0
4769,0.477385,0.213317,0.0,0.0
2544,0.558096,0.812819,1.0,1.0
6379,0.695810,0.692698,0.0,0.0
5262,0.278293,0.217865,0.0,0.0
9885,0.234966,0.662338,0.0,0.0
10081,0.596506,0.328639,0.0,0.0
1315,0.547619,0.446137,0.0,0.0
3388,0.436564,0.428626,0.0,0.0
3473,0.839376,0.892840,1.0,1.0
2117,0.558096,0.704129,0.0,0.0
9411,0.852699,0.632653,0.0,0.0
9379,0.871120,0.926102,1.0,1.0
4236,0.440995,0.666667,0.0,0.0
2049,0.348382,0.321247,0.0,0.0
4786,0.437381,0.451333,0.0,0.0
1604,0.516621,0.571946,0.0,0.0
7659,0.436801,0.386767,0.0,0.0
8152,0.591619,0.540715,0.0,0.0
5417,0.517880,0.548830,0.0,0.0
160,0.490024,0.467318,0.0,0.0
6826,0.578171,0.666870,1.0,1.0
1815,0.536459,0.754026,0.0,0.0
3647,0.732180,0.656134,1.0,1.0
5605,0.397133,0.563925,0.0,0.0
3526,0.859463,0.857534,1.0,1.0
3854,0.841252,0.933337,1.0,1.0
1053,0.401915,0.713333,0.0,0.0
2411,0.324880,0.562500,0.0,0.0
6015,0.541456,0.743351,0.0,0.0
2089,0.751983,0.655678,1.0,1.0
7745,0.875140,0.911351,1.0,1.0
6816,0.817693,0.797392,1.0,1.0
3934,0.546288,0.610644,0.0,0.0
6547,0.558096,0.671860,0.0,0.0
3758,0.938412,0.886606,1.0,1.0
7158,0.566427,0.562500,1.0,1.0
1584,0.425325,0.546418,0.0,0.0
2982,0.577961,0.480274,1.0,1.0
7679,0.752464,0.812208,1.0,1.0
5286,0.741190,0.681607,1.0,1.0
3776,0.588487,0.704762,1.0,1.0
1235,0.695362,0.723513,1.0,1.0
6294,0.657119,0.684741,1.0,1.0
1012,0.675484,0.912936,1.0,1.0
10318,0.506104,0.440663,0.0,0.0
7134,0.509217,0.723245,0.0,0.0
5180,0.626172,0.749501,1.0,1.0
2108,0.605221,0.595219,0.0,0.0
3639,0.582711,0.523316,0.0,0.0
6729,0.517382,0.535678,0.0,0.0
2472,0.640515,0.341105,1.0,1.0
10235,0.561619,0.464897,1.0,1.0
190,0.740899,0.736649,1.0,1.0
4713,0.657210,0.609762,1.0,1.0
6827,0.612944,0.682340,0.0,0.0
6108,0.743473,0.500000,1.0,1.0
1114,0.916253,0.919972,1.0,1.0
4848,0.603412,0.590668,0.0,0.0
606,0.369233,0.499202,0.0,0.0
1573,0.778701,0.867037,1.0,1.0
8546,0.655843,0.544852,0.0,0.0
5193,0.543248,0.221852,0.0,0.0
2936,0.545760,0.222222,0.0,0.0
5104,0.657924,0.773814,1.0,1.0
6712,0.628233,0.840580,1.0,1.0
3055,0.344479,0.000000,0.0,0.0
74,0.558096,1.000000,1.0,1.0
7726,0.688335,0.797737,1.0,1.0
9183,0.570341,0.490474,0.0,0.0
162,0.358708,0.465066,0.0,0.0
7288,0.618932,0.704762,0.0,0.0
8657,0.830918,0.899086,1.0,1.0
1295,0.537653,0.535755,0.0,0.0
8207,0.620714,0.352847,1.0,1.0
4433,0.920261,0.871805,1.0,1.0
590,0.785443,0.917140,1.0,1.0
10549,0.434974,0.581827,0.0,0.0
7749,0.490778,0.750000,0.0,0.0
405,0.749468,0.900245,1.0,1.0
10267,0.558260,0.691964,1.0,1.0
7133,0.558096,0.443023,0.0,0.0
7584,0.553810,0.000000,1.0,1.0
6616,0.896581,0.863952,1.0,1.0
1719,0.558096,0.648323,0.0,0.0
9761,0.641776,0.633906,1.0,1.0
5859,0.436106,0.000000,0.0,0.0
5662,0.425086,0.462187,0.0,0.0
1736,0.508817,0.307692,0.0,0.0
9333,0.719991,0.000000,0.0,0.0
1102,0.370316,0.515539,0.0,0.0
2790,0.534214,0.418097,1.0,1.0
6598,0.879692,0.827161,1.0,1.0
7995,0.933437,0.825137,1.0,1.0
4452,0.944523,0.802446,1.0,1.0
159,0.514832,0.599991,0.0,0.0
511,0.569032,0.533802,1.0,1.0
7006,0.688455,0.888372,1.0,1.0
1123,0.642650,0.856045,1.0,1.0
6073,0.433416,0.000000,0.0,0.0
7094,0.474325,0.343835,0.0,0.0
10008,0.434918,0.524322,0.0,0.0
7573,0.224635,0.200000,0.0,0.0
679,0.637500,0.770231,0.0,0.0
6809,0.679294,0.000000,0.0,0.0
1108,0.433244,0.519202,0.0,0.0
380,0.686032,0.000000,0.0,0.0
204,0.494544,0.538267,0.0,0.0
7075,0.335391,0.647555,0.0,0.0
2550,0.490490,0.000000,1.0,1.0
9785,0.576597,0.000000,0.0,0.0
5036,0.558096,0.801667,0.0,0.0
3129,0.445873,0.451121,0.0,0.0
6495,0.819918,0.775457,1.0,1.0
880,0.474664,0.434300,0.0,0.0
2360,0.516705,0.434132,0.0,0.0
7839,0.450850,0.336348,0.0,0.0
350,0.652843,0.597069,0.0,0.0
9151,0.873817,0.879433,1.0,1.0
6650,0.724759,0.512005,0.0,0.0
7208,1.000000,0.680392,1.0,1.0
5840,0.558096,0.000000,0.0,0.0
5997,0.484497,0.412823,0.0,0.0
2103,0.811797,0.799291,1.0,1.0
713,0.448446,0.451016,1.0,1.0
7771,0.497070,0.535762,0.0,0.0
10255,0.635154,0.449582,0.0,0.0
3944,0.921489,0.907235,1.0,1.0
4250,0.456461,0.430781,0.0,0.0
2833,0.387360,0.280087,0.0,0.0
3052,0.352179,0.363259,0.0,0.0
7855,0.773596,0.803159,1.0,1.0
4152,0.439349,0.487879,0.0,0.0
4445,0.932217,0.946785,1.0,1.0
10036,0.972512,0.499842,1.0,1.0
9727,0.585798,0.730615,0.0,0.0
2234,0.391630,0.403738,0.0,0.0
9632,0.836532,0.924567,1.0,1.0
626,0.610500,0.590433,0.0,0.0
1644,0.235930,0.268547,0.0,0.0
4859,0.833860,0.783486,1.0,1.0
3987,0.543546,0.538333,0.0,0.0
5884,0.877494,0.924031,1.0,1.0
4112,0.757000,0.739971,1.0,1.0
10392,0.312919,0.000000,0.0,0.0
2962,0.334220,0.453517,0.0,0.0
21,0.441884,0.563462,0.0,0.0
8524,0.555587,0.695203,1.0,1.0
2543,0.633939,0.509793,0.0,0.0
663,0.558096,0.705385,0.0,0.0
2748,0.606006,0.630863,1.0,1.0
3451,0.718342,0.407614,0.0,0.0
964,0.720537,0.718234,1.0,1.0
10560,0.837560,0.781268,1.0,1.0
2428,0.422485,0.562500,0.0,0.0
4520,0.626867,0.509137,0.0,0.0
7660,0.918583,0.547617,1.0,1.0
6583,0.558096,0.737073,0.0,0.0
10390,0.381264,0.538332,0.0,0.0
688,0.273512,0.402896,0.0,0.0
7957,0.849958,0.871223,1.0,1.0
3356,0.785917,0.776482,1.0,1.0
1766,0.483129,0.380967,0.0,0.0
9128,0.573846,0.558796,0.0,0.0
2340,0.558096,0.560028,0.0,0.0
9421,0.558096,0.440136,0.0,0.0
7712,0.624015,0.689820,1.0,1.0
8200,0.262506,0.308062,0.0,0.0
8762,0.305469,0.310129,0.0,0.0
6446,0.687147,0.660213,0.0,0.0
5194,0.271080,0.000000,0.0,0.0
960,0.563413,0.523809,0.0,0.0
779,0.927007,0.876443,1.0,1.0
3584,0.603553,0.525730,0.0,0.0
3011,0.388538,0.492643,0.0,0.0
2769,0.608714,0.552825,0.0,0.0
1392,0.487397,0.518752,0.0,0.0
7254,0.876187,0.884263,1.0,1.0
9084,0.389599,0.419114,0.0,0.0
9622,0.468722,0.389650,0.0,0.0
3665,0.558096,0.376372,0.0,0.0
1609,0.590611,0.416752,0.0,0.0
6130,0.381702,0.446566,0.0,0.0
10155,0.459456,0.510937,0.0,0.0
7826,0.801468,0.735581,1.0,1.0
8300,0.608311,0.501370,0.0,0.0
5038,0.558096,0.638024,0.0,0.0
7582,0.595565,0.739277,1.0,1.0
9561,0.561669,0.262103,0.0,0.0
7430,0.813190,0.903720,1.0,1.0
5045,0.797862,0.949729,1.0,1.0
10421,0.367938,0.159309,0.0,0.0
5675,0.617805,0.415245,0.0,0.0
4687,0.683417,0.629896,0.0,0.0
4944,0.906113,0.859439,1.0,1.0
5105,0.670198,0.714699,1.0,1.0
148,0.558096,0.498563,0.0,0.0
6371,0.558096,0.402134,0.0,0.0
8108,0.570570,0.000000,0.0,0.0
4354,0.567312,0.567613,0.0,0.0
6077,0.758217,0.802997,1.0,1.0
4292,0.558096,1.000000,0.0,0.0
10068,0.592723,0.511225,1.0,1.0
5821,0.564771,0.781872,0.0,0.0
1042,0.772540,0.858061,1.0,1.0
7715,0.558045,0.262500,0.0,0.0
9703,0.368475,0.178571,0.0,0.0
2761,0.448273,0.459116,0.0,0.0
7002,0.559036,0.598272,0.0,0.0
7313,0.545644,0.645699,1.0,1.0
9050,0.558096,0.286305,0.0,0.0
5518,0.357518,0.388657,0.0,0.0
10556,0.895124,0.963069,1.0,1.0
1078,0.306755,0.425418,0.0,0.0
9699,0.558096,0.610247,0.0,0.0
10445,0.891255,0.832816,1.0,1.0
8748,0.892400,0.729699,1.0,1.0
2960,0.441632,0.292408,0.0,0.0
4317,0.504856,0.495161,0.0,0.0
939,0.466358,0.200000,0.0,0.0
8423,0.461550,0.459902,0.0,0.0
5196,0.268770,0.405352,0.0,0.0
8151,0.319365,0.367521,0.0,0.0
7199,0.635085,0.704762,1.0,1.0
1574,0.500000,0.596189,0.0,0.0
8566,0.620496,0.655609,0.0,0.0
7389,0.522446,0.527591,0.0,0.0
1177,0.752535,0.785114,1.0,1.0
10282,0.459328,0.586630,1.0,1.0
10098,0.558096,0.868364,1.0,1.0
4512,0.343412,0.435499,0.0,0.0
4055,0.872967,0.850305,1.0,1.0
8431,0.851979,0.696997,1.0,1.0
4532,0.507108,0.706885,0.0,0.0
10450,0.714286,0.677419,0.0,0.0
5754,0.889787,0.827491,1.0,1.0
1882,0.693314,0.703642,1.0,1.0
1563,0.878998,0.862222,1.0,1.0
4871,0.886851,0.929581,1.0,1.0
8440,0.590247,0.509914,0.0,0.0
3253,0.569767,0.529043,1.0,1.0
8270,0.626667,0.436414,0.0,0.0
4610,0.443658,0.654794,0.0,0.0
9619,0.528844,0.338078,0.0,0.0
8786,0.302910,0.325463,0.0,0.0
2889,0.901090,0.855385,1.0,1.0
9781,0.430572,0.494803,0.0,0.0
5061,0.400345,0.674069,0.0,0.0
7059,0.900896,0.873624,1.0,1.0
2064,0.891956,0.818999,1.0,1.0
1587,0.669672,0.547047,0.0,0.0
1934,0.892032,0.811948,1.0,1.0
5516,0.558096,0.540391,0.0,0.0
9853,0.451485,0.304075,0.0,0.0
7867,0.563048,0.563689,0.0,0.0
