urlid,label,label_title,label_url
5865,0.728895,0.771736,0.799364
782,0.365667,0.456107,0.430556
6962,1.000000,0.456107,0.562417
7640,0.464624,0.369153,0.395791
3589,0.598816,0.465396,0.495883
6719,0.550890,0.571769,0.398970
3905,0.536775,0.570194,0.249423
9841,0.813475,0.885492,0.904311
7447,0.499248,0.463281,0.470063
4776,0.444836,0.469697,0.410127
2879,0.424242,0.456107,0.969697
2620,0.424242,0.456107,0.410127
10479,0.444357,0.343381,0.343670
1105,0.447146,0.385571,0.250000
1849,0.567778,0.522300,0.412782
8286,0.676620,0.681753,0.818406
8344,0.831738,0.639108,0.654252
10486,0.768245,0.931423,0.864035
8661,0.853672,0.864111,0.865804
7188,0.482745,0.558602,0.410127
1433,0.790861,0.807937,0.737903
677,0.633901,0.891714,0.830031
469,0.732408,0.895161,0.877296
6988,0.406575,0.341819,0.464959
8024,0.485189,0.290084,0.554846
6896,0.565840,0.366667,0.478256
9154,0.504823,0.400639,0.533979
342,0.424242,0.456107,0.858437
50,0.544687,0.521443,0.646002
983,0.472873,0.345062,0.443885
6933,0.522587,0.374850,0.435873
8271,0.481577,0.330588,0.360736
5602,0.424242,0.456107,0.424821
4505,0.287685,0.255098,0.279437
4966,0.859520,0.839463,0.523316
2390,0.404361,0.364950,0.272727
6736,0.542621,0.604729,0.595452
4660,0.782355,0.967885,0.917025
7560,0.699907,0.758779,0.748586
3840,0.587195,0.467802,0.528311
5823,0.781937,0.729782,0.872569
5789,0.743421,0.888506,0.845476
1595,0.424242,0.352139,0.332493
6770,0.698778,0.655258,0.753786
3522,0.714741,0.905807,0.887909
5584,0.671654,0.899318,0.868211
8323,0.737513,0.733078,0.776316
3862,0.591916,0.644098,0.692196
373,0.473317,0.166667,0.400000
7345,0.527483,0.282000,0.464605
7708,0.783328,0.814003,0.839079
1398,0.781171,0.711237,0.770304
4298,0.520291,0.369048,0.497379
7467,0.403032,0.255424,0.394593
1878,0.730623,0.692888,0.686949
1832,0.501311,0.551683,0.558338
625,0.546391,0.484420,0.362466
7438,0.373729,0.361074,0.437345
9961,0.724212,0.901388,0.960970
7117,0.493905,0.379909,0.408114
8190,0.491998,0.348023,0.320347
1713,0.668086,0.872727,0.410127
949,0.529124,0.492459,0.702654
9246,0.345235,0.243155,0.356670
2326,0.461317,0.309301,0.593489
8942,0.477184,0.411577,0.340533
4458,0.596009,0.585939,0.705357
4659,0.552258,0.584334,0.609665
9522,0.303604,0.394264,0.530281
2497,0.713292,0.456107,0.562417
9836,0.424242,0.456107,0.615431
3808,0.749994,0.903126,0.897522
5575,0.756498,0.806790,0.801084
5714,0.424242,0.364583,0.332458
2490,0.670285,0.931570,0.883107
6812,0.515651,0.576198,0.559294
4335,0.412617,0.165138,0.364874
10014,0.803017,0.708333,0.410127
5889,0.754336,0.944097,0.808100
482,0.805878,0.437500,0.548213
8082,0.461857,0.521065,0.333333
5856,0.767486,0.877373,0.814703
8866,0.544446,0.760368,0.695947
2624,0.793897,0.832257,0.868571
1371,0.745126,0.873480,0.831184
4436,0.449116,0.642788,0.664476
2972,0.760357,0.858936,0.969508
3638,0.754770,0.884183,0.895563
6249,0.424242,0.456107,0.787033
7602,0.498883,0.421588,0.530779
9624,0.866212,0.881129,0.857058
7567,0.512173,0.457659,0.436588
6578,0.531181,0.395960,0.273281
7590,0.424242,0.912024,0.850353
8590,0.678633,0.493484,0.466704
10520,0.676317,0.785389,0.734435
1906,0.424242,0.498290,0.470099
1373,0.490718,0.694082,0.404864
1601,0.775466,0.969393,0.964912
4754,0.503019,0.515266,0.498880
8208,0.513476,0.397332,0.304154
1658,0.755171,0.931835,0.884820
1352,0.783159,0.820797,0.857882
8143,0.715613,0.940288,0.943746
7760,0.678857,0.938713,0.751210
7836,0.424242,0.932557,0.851930
9769,0.492271,0.329299,0.410127
503,0.674502,0.775583,0.778553
4909,0.479492,0.470324,0.478590
7162,0.467208,0.153846,0.410127
10035,0.668576,0.672222,0.837209
1992,0.675821,0.564949,0.639180
6133,0.452245,0.286935,0.410127
8519,0.531810,0.285398,0.445883
1879,0.424242,0.456107,0.736230
7107,0.523633,0.521119,0.471278
1225,0.662572,0.569197,0.543818
2451,0.671371,0.641746,0.732472
8252,0.439326,0.353595,0.285919
9214,0.649770,0.596765,0.261364
4850,0.789624,0.899904,0.779366
5891,0.470504,0.310080,0.591059
5274,0.506026,0.355647,0.454082
8623,0.455472,0.266573,0.333949
562,0.709319,0.744259,0.744326
860,0.309500,0.459676,0.351933
4199,0.763262,0.941934,0.735785
7616,0.495054,0.365433,0.406596
10544,0.564961,0.646832,0.726598
1567,0.754513,0.667011,0.634662
6552,0.513595,0.417051,0.603456
954,0.524293,0.285088,0.249435
111,0.555330,0.548591,0.505865
7036,0.654759,0.551430,0.562977
1995,0.778129,0.870602,0.835795
7095,0.424242,0.456107,0.511803
10180,0.562062,0.602694,0.569791
6872,0.803688,0.795235,0.781732
4805,0.837460,0.906276,0.927777
355,0.680375,0.801234,0.785161
8097,0.743774,0.913367,0.722048
9271,0.770916,0.942796,0.813546
431,0.498996,0.594245,0.543623
1646,0.591834,0.800341,0.754655
143,0.773645,0.531746,0.639661
3436,0.334783,0.452200,0.380780
150,0.572389,0.605364,0.538613
9745,0.283738,0.456107,0.750000
715,0.522113,0.440309,0.558963
578,0.468760,0.533333,0.410127
8684,0.743852,0.694094,0.814460
1186,0.791143,0.757042,0.410127
9115,0.601552,0.722968,0.410127
9239,0.479784,0.519934,0.335626
5461,0.738944,0.621710,0.650660
5424,0.832173,0.603217,0.687472
1349,0.842795,0.962264,0.864966
609,0.740635,0.672001,0.808053
7569,0.500053,0.521119,0.403633
1622,0.576402,0.445250,0.610360
6541,0.472122,0.457402,0.342704
