urlid,label
5865,0.782722
782,0.329102
6962,1.000000
7640,0.416118
3589,0.590650
6719,0.506121
3905,0.534590
9841,0.846114
7447,0.482812
4776,0.420142
2879,0.424242
2620,0.424242
10479,0.419651
1105,0.421740
1849,0.524803
8286,0.687367
8344,0.863258
10486,0.842800
8661,0.896355
7188,0.467990
1433,0.834041
677,0.644151
469,0.764785
6988,0.318545
8024,0.474360
6896,0.557120
9154,0.510400
342,0.424242
50,0.524621
983,0.386328
6933,0.494637
8271,0.449464
5602,0.424242
4505,0.241033
4966,0.886616
2390,0.382095
6736,0.531392
4660,0.806416
7560,0.730714
3840,0.580413
5823,0.805461
5789,0.776708
1595,0.424242
6770,0.710704
3522,0.795209
5584,0.613957
8323,0.766929
3862,0.636351
373,0.475123
7345,0.525433
7708,0.822024
1398,0.809810
4298,0.465789
7467,0.388782
1878,0.762361
1832,0.465262
625,0.558522
7438,0.317916
9961,0.746379
7117,0.482185
8190,0.430987
1713,0.714566
949,0.517264
9246,0.291789
2326,0.398291
8942,0.445123
4458,0.591604
4659,0.550015
9522,0.253323
2497,0.647248
9836,0.424242
3808,0.785113
5575,0.728621
5714,0.424242
2490,0.661527
6812,0.457397
4335,0.383818
10014,0.850646
5889,0.785309
482,0.804895
8082,0.376687
5856,0.820693
8866,0.533043
2624,0.834789
1371,0.776616
4436,0.358441
2972,0.774065
3638,0.779451
6249,0.424242
7602,0.474499
9624,0.890303
7567,0.495770
6578,0.477511
7590,0.424242
8590,0.627022
10520,0.699109
1906,0.424242
1373,0.437943
1601,0.811559
4754,0.495553
8208,0.472830
1658,0.773207
1352,0.825707
8143,0.783385
7760,0.696857
7836,0.424242
9769,0.468463
503,0.687016
4909,0.419185
7162,0.434959
10035,0.654004
1992,0.680983
6133,0.384824
8519,0.504254
1879,0.424242
7107,0.470093
1225,0.649340
2451,0.657621
8252,0.413097
9214,0.650712
4850,0.840169
5891,0.360989
5274,0.455708
8623,0.402470
562,0.685195
860,0.254591
4199,0.779848
7616,0.474146
10544,0.492293
1567,0.771133
6552,0.446710
954,0.466961
111,0.539174
7036,0.661352
1995,0.792720
7095,0.424242
10180,0.523862
6872,0.880308
4805,0.882259
355,0.613464
8097,0.682817
9271,0.767184
431,0.471920
1646,0.598892
143,0.780454
3436,0.298473
150,0.559708
9745,0.269849
715,0.498172
578,0.464090
8684,0.754516
1186,0.822623
9115,0.575296
9239,0.418960
5461,0.769382
5424,1.000000
1349,0.882650
609,0.760629
7569,0.469729
1622,0.547227
6541,0.458768
9873,0.851231
305,0.466375
6041,0.448776
5360,0.421273
8445,0.666243
7260,0.454392
4526,0.684889
138,0.566472
168,0.475291
7888,0.654539
4639,0.652148
867,0.564773
9673,0.883596
710,0.503051
4749,0.399141
4716,0.361264
410,0.702421
2155,0.872030
3289,0.426143
7774,0.424242
1200,0.424242
9057,0.424242
2261,0.424242
9612,0.424242
4987,0.599405
3605,0.868009
5068,0.855509
4474,0.719382
5831,0.677681
4729,0.549957
10060,0.570958
6895,0.348452
3791,0.838500
7910,0.327871
4209,0.444998
4984,0.612070
1773,0.399726
2101,0.480188
7251,0.465422
2887,0.522486
875,0.605685
8185,0.445294
9688,0.836080
5342,0.322139
6802,0.608178
3077,0.645881
712,0.419414
3026,0.424242
2640,0.512938
4872,0.575123
3334,0.783638
2431,0.527838
9218,0.499095
7417,0.661834
3563,0.901115
1006,0.499768
8940,0.552661
7703,0.328042
2686,0.509578
8159,0.874290
37,0.424242
65,0.512666
1910,0.424242
2202,0.811961
9717,0.756560
2388,0.678791
2365,0.484465
5072,0.567657
4614,0.405877
6955,0.564259
4094,0.262254
3319,0.895155
1456,0.777936
5381,0.692032
4479,0.424242
4766,0.444162
6076,0.750073
8064,0.532293
3416,0.898196
4892,0.435457
9942,0.707539
9215,0.473382
4506,0.696911
9275,0.445017
1306,0.785281
6828,0.771092
8368,0.615368
7205,0.314348
360,0.836444
3386,0.462243
3835,0.652197
1305,0.320794
7963,0.414161
2073,0.562433
4230,0.424242
9012,0.442757
2723,0.805458
6788,0.856967
7945,0.291697
4868,0.827099
6597,0.580836
7323,0.371917
6229,0.504334
3427,0.424242
7727,0.442496
4707,0.837973
2547,0.643207
4523,0.891011
9648,0.501018
1084,0.469048
3327,0.787987
