urlid,label
5865,0.619838
782,0.159748
6962,0.321745
7640,0.075605
3589,0.275425
6719,0.267956
3905,0.417359
9841,0.669808
7447,0.131082
4776,0.271045
2879,0.446280
2620,0.316479
10479,0.225584
1105,0.224984
1849,0.224093
8286,0.542925
8344,0.522461
10486,0.704967
8661,0.694113
7188,0.225253
1433,0.545531
677,0.617210
469,0.667181
6988,0.086021
8024,0.113565
6896,0.237506
9154,0.246480
342,0.437095
50,0.174185
983,0.195831
6933,0.074244
8271,0.174248
5602,0.266741
4505,0.436260
4966,0.562623
2390,0.112092
6736,0.388084
4660,0.742754
7560,0.661104
3840,0.272734
5823,0.529422
5789,0.568569
1595,0.155634
6770,0.545562
3522,0.742754
5584,0.617210
8323,0.742754
3862,0.518630
373,0.161857
7345,0.176845
7708,0.718449
1398,0.644111
4298,0.249790
7467,0.122948
1878,0.668479
1832,0.391756
625,0.168539
7438,0.147284
9961,0.691485
7117,0.171620
8190,0.222763
1713,0.455784
949,0.121681
9246,0.102538
2326,0.210529
8942,0.148112
4458,0.450523
4659,0.172856
9522,0.256411
2497,0.394193
9836,0.351918
3808,0.718449
5575,0.669745
5714,0.313705
2490,0.617210
6812,0.370047
4335,0.102538
10014,0.480383
5889,0.572621
482,0.361489
8082,0.213243
5856,0.670182
8866,0.492995
2624,0.608952
1371,0.692815
4436,0.309628
2972,0.677597
3638,0.718418
6249,0.413718
7602,0.204596
9624,0.669840
7567,0.221560
6578,0.186983
7590,0.544762
8590,0.400165
10520,0.519833
1906,0.273351
1373,0.299251
1601,0.728038
4754,0.072977
8208,0.216770
1658,0.718418
1352,0.678300
8143,0.717120
7760,0.565729
7836,0.569067
9769,0.205506
503,0.691485
4909,0.169790
7162,0.268276
10035,0.558086
1992,0.454466
6133,0.241160
8519,0.102538
1879,0.388423
7107,0.243579
1225,0.324034
2451,0.518694
8252,0.185785
9214,0.178111
4850,0.618476
5891,0.125544
5274,0.343949
8623,0.221497
562,0.522619
860,0.359795
4199,0.718418
7616,0.237888
10544,0.570716
1567,0.645472
6552,0.247131
954,0.222763
111,0.386303
7036,0.591544
1995,0.709335
7095,0.315414
10180,0.332245
6872,0.619869
4805,0.742754
355,0.613647
8097,0.669745
9271,0.712778
431,0.224124
1646,0.617210
143,0.511338
3436,0.214714
150,0.479304
9745,0.298959
715,0.162443
578,0.314229
8684,0.619838
1186,0.547863
9115,0.473619
9239,0.148519
5461,0.370079
5424,0.605792
1349,0.676270
609,0.650039
7569,0.133497
1622,0.272734
6541,0.124246
9873,0.619869
305,0.175452
6041,0.363525
5360,0.248082
8445,0.641546
7260,0.295224
4526,0.497923
138,0.295772
168,0.257935
7888,0.472585
4639,0.615880
867,0.124246
9673,0.496890
710,0.344387
4749,0.147221
4716,0.072946
410,0.521195
2155,0.742754
3289,0.418688
7774,0.229709
1200,0.228612
9057,0.291077
2261,0.218069
9612,0.424146
4987,0.409012
3605,0.676811
5068,0.718449
4474,0.608999
5831,0.523886
4729,0.198553
10060,0.337891
6895,0.097544
3791,0.718418
7910,0.039564
4209,0.175452
4984,0.692783
1773,0.270043
2101,0.099878
7251,0.161970
2887,0.207804
875,0.407247
8185,0.305898
9688,0.742754
5342,0.098184
6802,0.305296
3077,0.398891
712,0.000000
3026,0.316479
2640,0.183585
4872,0.385207
3334,0.554459
2431,0.240601
9218,0.136086
7417,0.596831
3563,0.717120
1006,0.545531
8940,0.406372
7703,0.074275
2686,0.214254
8159,0.672207
37,0.252853
65,0.149881
1910,0.260252
2202,0.694113
9717,0.594172
2388,0.413056
2365,0.074244
5072,0.353296
4614,0.244503
6955,0.298368
4094,0.039564
3319,0.742754
1456,0.642813
5381,0.642844
4479,0.593403
4766,0.282817
6076,0.641515
8064,0.432204
3416,0.621136
4892,0.185730
9942,0.705710
9215,0.444770
4506,0.596863
9275,0.222858
1306,0.691485
6828,0.692783
8368,0.468691
7205,0.170291
360,0.614582
3386,0.074307
3835,0.358054
1305,0.134511
7963,0.197192
2073,0.320835
4230,0.288726
9012,0.174154
2723,0.663535
6788,0.571228
7945,0.221433
4868,0.586446
6597,0.303636
7323,0.074275
6229,0.234830
3427,0.315543
7727,0.098580
4707,0.742754
2547,0.665851
4523,0.742754
9648,0.340550
1084,0.272828
3327,0.637522
5591,0.138966
186,0.122853
2938,0.168571
9912,0.595533
6047,0.277316
2417,0.530688
10533,0.221465
1137,0.369408
1533,0.520904
9233,0.464620
43,0.220135
8986,0.124045
6000,0.742754
480,0.207678
2457,0.298368
5362,0.075650
7722,0.204655
7940,0.645409
6104,0.718418
8853,0.148582
5813,0.621136
4769,0.083631
2544,0.461431
6379,0.382054
5262,0.162033
9885,0.202408
10081,0.328838
1315,0.224525
3388,0.106650
3473,0.667181
2117,0.334218
9411,0.334438
9379,0.621167
4236,0.202074
2049,0.222795
4786,0.231222
1604,0.194587
7659,0.225486
8152,0.273708
5417,0.271467
160,0.174185
6826,0.496953
1815,0.276035
3647,0.617241
5605,0.160297
3526,0.717120
3854,0.742754
1053,0.157223
2411,0.246054
6015,0.312783
2089,0.526739
7745,0.622297
6816,0.518630
3934,0.248366
6547,0.284887
3758,0.557715
7158,0.411210
1584,0.142268
2982,0.394951
7679,0.644174
5286,0.644174
3776,0.437724
1235,0.492964
6294,0.571197
1012,0.702854
10318,0.193304
7134,0.256195
5180,0.545531
2108,0.282293
3639,0.347800
6729,0.099941
2472,0.409185
10235,0.325301
190,0.718449
4713,0.431764
6827,0.385216
6108,0.299042
1114,0.668479
4848,0.253011
606,0.271499
1573,0.594172
8546,0.221591
5193,0.133263
2936,0.227364
5104,0.564643
6712,0.559230
3055,0.313040
74,0.483983
7726,0.519991
9183,0.404210
162,0.233669
7288,0.437588
8657,0.717120
1295,0.294411
8207,0.482107
4433,0.654213
590,0.619838
10549,0.234212
7749,0.223923
405,0.718418
10267,0.616951
7133,0.315414
7584,0.299497
6616,0.629511
1719,0.242405
9761,0.571228
5859,0.348106
5662,0.149817
1736,0.246573
9333,0.398045
1102,0.101240
2790,0.317049
6598,0.669777
7995,0.626921
4452,0.668479
159,0.465709
511,0.472680
7006,0.557816
1123,0.336187
6073,0.219934
7094,0.244535
